pmid,year,journal,title,decision,stage,rule_id,detail,flags
34163129,2021,"Clinical ophthalmology (Auckland, N.Z.)",Treatment of Keratoconus with WaveLight Contoura and Corneal Cross-Linking Combined.,keep,keep,keep.content,signal='Cross-Link' ophth='Keratocon',ophthalmology_journal
34143790,2021,PloS one,Repeatability of corneal and epithelial thickness measurements with anterior segment optical coherence tomography in keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='cornea',
34137523,2021,"Journal of Ayub Medical College, Abbottabad : JAMC",A Study On Efficacy Of Corneal Collagen Cross Linking In Progressive Keratoconus.,keep,keep,keep.content,signal='Cross Link' ophth='Cornea',
34135568,2021,"Clinical ophthalmology (Auckland, N.Z.)",Long-Term Follow-Up of Combined Photorefractive Keratectomy and Corneal Crosslinking in Keratoconus Suspects.,keep,keep,keep.content,signal='Crosslink' ophth='Photorefractive',ophthalmology_journal
34117699,2021,Clinical & experimental ophthalmology,"Five-year results of a prospective, randomised, contralateral eye trial of corneal crosslinking for keratoconus.",keep,keep,keep.content,signal='crosslink' ophth='eye',ophthalmology_journal
34116541,2021,Cornea,Cutting Edge: Novel Treatment Options Targeting Corneal Neovascularization to Improve High-Risk Corneal Graft Survival.,keep,keep,keep.content,signal='crosslink' ophth='Cornea',ophthalmology_journal
34116536,2022,Cornea,Keratoconus: Diagnosis and Staging.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',ophthalmology_journal
34100403,2021,Indian journal of pharmacology,Unmet needs of corneal collagen cross-linking.,keep,manual,manual.include,Unmet needs of corneal collagen cross-linking (commentary) [Claude-proposed 2026-09-10],
34095607,2021,American journal of ophthalmology case reports,Severe long-term progressive corneal remodeling after bilateral simultaneous prophylactic crosslinking and topography-guided surface ablation with mitomycin.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
34091554,2022,Journal of cataract and refractive surgery,Concordance of keratoconus in monozygotic twins before and after combined corneal crosslinking/photorefractive keratectomy (Athens Protocol) using Scheimpflug and OCT tomography.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
34086008,2021,Cornea,Diffuse Lamellar Keratitis in a Patient Undergoing Collagen Corneal Cross-Linking 18 Years After Laser In Situ Keratomileusis Surgery.,keep,keep,keep.content,signal='Cross-Link' ophth='Keratitis',ophthalmology_journal
34081754,2021,PloS one,Can UVA-light-activated riboflavin-induced collagen crosslinking be transferred from ophthalmology to spine surgery? A feasibility study on bovine intervertebral disc.,keep,keep,keep.content,signal='UVA' ophth='UVA',
34074991,2021,Journal of cataract and refractive surgery,Endothelial cell loss after accelerated corneal crosslinking using pachymetry-guided hypo-osmolar riboflavin dosing in thin keratoconic corneas.,keep,keep,keep.content,signal='crosslink' ophth='Endotheli',ophthalmology_journal
34059330,2021,Journal francais d'ophtalmologie,Risk factors for keratoconus progression after treatment by accelerated cross-linking (A-CXL): A prospective 24-month study.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
34058903,2021,European journal of ophthalmology,Seven years follow-up of corneal cross-linking (CXL) in pediatric patients: Evaluation of treated and untreated eye.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
34055251,2021,Journal of ophthalmic & vision research,Long-term Outcomes of Collagen Crosslinking for Early Keratoconus.,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',ophthalmology_journal
34055085,2021,Experimental and therapeutic medicine,Comparison of modified corneal cross-linking with intrastromal voriconazole for the treatment of fungal corneal ulcer.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
34053332,2021,European journal of ophthalmology,Corneal cross-linking for keratoconus: Evaluation of the retina and choroid.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
34050067,2021,Cornea,Keratoconus Management With Customized Photorefractive Keratectomy by Artificial Intelligence Ray-Tracing Optimization Combined With Higher Fluence Corneal Crosslinking: The Ray-Tracing Athens Protoco,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',ophthalmology_journal
34050066,2022,Cornea,Effect of Previous Crosslinking on Intraoperative and Postoperative Outcomes and Complication Rates of Big-Bubble Deep Anterior Lamellar Keratoplasty for Keratoconus: A Comparative Study.,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',ophthalmology_journal
34048801,2021,American journal of ophthalmology,Transepithelial Versus Epithelium-Off Corneal Crosslinking for Progressive Keratoconus: Findings From a Cochrane Systematic Review.,keep,keep,keep.content,signal='Epithelium-Off' ophth='Epitheli',ophthalmology_journal
34044698,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)","Erratum for ""Interferometric Ex Vivo Evaluation of the Spatial Changes to Corneal Biomechanics Introduced by Topographic CXL: A Pilot Study"".",keep,keep,keep.content,signal='CXL' ophth='Cornea',ophthalmology_journal;no_abstract
34044691,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Corneal Cross-linking for Progressive Keratoconus in Patients Older Than 40 Years: Long-term Follow-up.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
34039182,2021,Current eye research,Corneal Crosslinking Biomechanics Evaluated by a Novel and Easily Implemented Differential Tonometry Method.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
34038664,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Interferometric Ex Vivo Evaluation of the Spatial Changes to Corneal Biomechanics Introduced by Topographic CXL: A Pilot Study.,keep,keep,keep.content,signal='CXL' ophth='Cornea',ophthalmology_journal
34038661,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Artificial Intelligence Efficiently Identifies Regional Differences in the Progression of Tomographic Parameters of Keratoconic Corneas.,keep,keep,keep.content,signal='cross-link' ophth='Tomograph',ophthalmology_journal
34038299,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Fellow Eye as a Predictor for Keratoconus Progression Following Accelerated Corneal Cross-linking.,keep,keep,keep.content,signal='Cross-link' ophth='Eye',ophthalmology_journal
34032979,2021,International ophthalmology,Risk factors for progression following corneal collagen crosslinking in keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
34015954,2021,European journal of ophthalmology,Long term results of accelerated corneal collagen cross-linking in pediatric keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
34011736,2021,Indian journal of ophthalmology,The effect of corneal crosslinking on the rigidity of the cornea estimated using a modified algorithm for the Schiøtz tonometer.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
34009489,2021,Biomechanics and modeling in mechanobiology,Multi-physics modeling and finite element formulation of corneal UV cross-linking.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
34007152,2021,"Clinical ophthalmology (Auckland, N.Z.)","The Effect of Sodium Iodide on Stromal Loading, Distribution and Degradation of Riboflavin in a Rabbit Model of Transepithelial Corneal Crosslinking.",keep,keep,keep.content,signal='Riboflavin' ophth='Stroma',ophthalmology_journal
34003977,2021,Translational vision science & technology,Corneal Optical Coherence Tomography Speckle in Crosslinked and Untreated Rabbit Eyes in Response to Elevated Intraocular Pressure.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
34003975,2021,Translational vision science & technology,Corneal Crosslinking in Refractive Corrections.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
34003974,2021,Translational vision science & technology,Transepithelial Corneal Crosslinking Using a Novel Ultraviolet Light-Emitting Contact Lens Device: A Pilot Study.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
34003973,2021,Translational vision science & technology,Chemical Cross-Linking of Corneal Tissue to Reduce Progression of Loss of Sight in Patients With Keratoconus.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
34001713,2021,Eye & contact lens,Efficacy and Safety of Contact Lens-Assisted Corneal Crosslinking in the Treatment of Keratoconus With Thin Corneas.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33986586,2021,"Clinical ophthalmology (Auckland, N.Z.)",The Impact of COVID-19 on Acute and Elective Corneal Surgery at Moorfields Eye Hospital London.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
33966013,2021,Current opinion in ophthalmology,Update on corneal collagen crosslinking for ectasia.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33961088,2021,Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,[Preconditioning of vascularized high-risk eyes using fine-needle diathermy and cross-linking].,keep,keep,keep.content,signal='cross-link' ophth='eyes',ophthalmology_journal
33935236,2021,Cornea,Comparative Efficacy and Safety of Standard Versus Accelerated Corneal Crosslinking for Keratoconus: 1-Year Outcomes From the Save Sight Keratoconus Registry Study.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33931101,2021,"Eye and vision (London, England)",Long term results of accelerated 9 mW corneal crosslinking for early progressive keratoconus: the Siena Eye-Cross Study 2.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
38261806,2021,Conference on Lasers and Electro-optics : (CLEO). Conference on Lasers and Electro-optics,A Novel Fiber-Optic Confocal Laser Caliper Approach for Non-Contact Optical Characterization of Silk Fibroin Thin Films Created by Riboflavin Photo-Crosslinking.,keep,keep,keep.content,signal='Riboflavin' ophth='Riboflavin',
33929804,2021,Journal of cataract and refractive surgery,Alternative indications for corneal crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33901064,2021,Journal of cataract and refractive surgery,Keratoconus and corneal crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='Keratocon',ophthalmology_journal;no_abstract
33895368,2021,The ocular surface,Topical use of alcohol in ophthalmology - Diagnostic and therapeutic indications.,keep,keep,keep.content,signal='cross-link' ophth='ophthalm',ophthalmology_journal
33895029,2021,Journal francais d'ophtalmologie,[Intracorneal ring segments in keratoconus management].,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
33892046,2021,Ophthalmology,Effect of Corneal Cross-linking versus Standard Care on Keratoconus Progression in Young Patients: The KERALINK Randomized Controlled Trial.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33885984,2021,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Are changes in visual acuity and astigmatism after corneal cross-linking (CXL) in keratoconus predictable?,keep,keep,keep.content,signal='cross-link' ophth='visual acuity',ophthalmology_journal
33876334,2021,International ophthalmology,The efficiency and safety of oxygen-supplemented accelerated transepithelial corneal cross-linking.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
33873209,2021,Klinische Monatsblatter fur Augenheilkunde,[Orthokeratology - a Perfect Vision Overnight - An Update and Overview].,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33873207,2021,Klinische Monatsblatter fur Augenheilkunde,[Crosslinking and Keratoconus].,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',ophthalmology_journal
33872673,2021,Experimental eye research,A new collagen scaffold for the improvement of corneal biomechanical properties in a rabbit model.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33859087,2021,Cornea,Bowman Layer Onlay Grafting: Proof-of-Concept of a New Technique to Flatten Corneal Curvature and Reduce Progression in Keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='Cornea',ophthalmology_journal
33859086,2022,Cornea,Outcomes After Corneal Crosslinking for Keratoconus in Children and Young Adults.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33858272,2021,Ophthalmic genetics,Keratoconus in a child with partial trisomy 13.,keep,keep,keep.content,signal='epithelium-off' ophth='Keratocon',ophthalmology_journal
33857213,2021,PloS one,Experimental in-vitro investigation on Epi-Off-Crosslinking on porcine corneas.,keep,keep,keep.content,signal='Epi-Off' ophth='cornea',
33852555,2021,Optometry and vision science : official publication of the American Academy of Optometry,Case Report: Double Intrastromal Corneal Ring Segment and Posterior Chamber Phakic Intraocular Lens Implantation.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
33846032,2021,Journal francais d'ophtalmologie,[Safety and efficiency of epithelium-off accelerated corneal cross-linking for progressive keratoconus in pediatric patients].,keep,keep,keep.content,signal='epithelium-off' ophth='epitheli',ophthalmology_journal
33843117,2021,Clinical & experimental ophthalmology,Iontophoresis for corneal collagen crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal;no_abstract
33832048,2021,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,[Thought of corneal collagen cross-linking combined with excimer laser ablation for irregular corneas in keratoconus].,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
33824576,2021,"Clinical ophthalmology (Auckland, N.Z.)",Outcomes of Conductive Keratoplasty Combined with Corneal Crosslinking in Advanced Ectatic Corneal Disease.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33814816,2020,Middle East African journal of ophthalmology,Corneal Cross-linking as an Adjunct for The Management of Refractory Fungal Keratitis.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33812086,2021,The ocular surface,Safety and efficacy of UV application for superficial infections in humans: A systematic review and meta-analysis.,keep,keep,keep.content,signal='UVA' ophth='UVA',ophthalmology_journal
33806928,2021,Journal of clinical medicine,Chemically-Boosted Corneal Cross-Linking for the Treatment of Keratoconus through a Riboflavin 0.25% Optimized Solution with High Superoxide Anion Release.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',
33791355,2021,Frontiers in veterinary science,Case Report: Successful Management of Refractory Keratomycosis in an Alpaca Using Penetrating Keratoplasty and Combination Antifungal Therapy (Caspofungin 0.5% and Terbinafine 1%).,exclude,manual,manual.exclude,"Alpaca keratomycosis case (PK + antifungals); 'corneal crosslinking' keyword only, procedure not used [Claude-proposed 2026-09-10]",
37727230,2021,Photonics,Compressional Optical Coherence Elastography of the Cornea.,keep,keep,keep.content,signal='UV-A' ophth='Cornea',
37181107,2021,Therapeutic advances in rare disease,Keratoconus: cross-linking the window of the eye.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',
33770171,2021,Journal of cataract and refractive surgery,Selective transepithelial ablation with simultaneous accelerated corneal crosslinking for corneal regularization of keratoconus: STARE-X protocol.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33769766,2021,Journal of cataract and refractive surgery,Results of corneal crosslinking in adolescents with progressive keratoconus: prospective study.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33769765,2021,Journal of cataract and refractive surgery,Infectious keratitis after corneal crosslinking: systematic review.,keep,keep,keep.content,signal='crosslink' ophth='keratitis',ophthalmology_journal
33765359,2021,The Cochrane database of systematic reviews,Transepithelial versus epithelium-off corneal crosslinking for progressive keratoconus.,keep,keep,keep.content,signal='epithelium-off' ophth='epitheli',
33761502,2021,Ophthalmic research,Descemet Membrane Endothelial Keratoplasty and Bowman Layer Transplantation: An Anatomic Review and Historical Survey.,keep,keep,keep.content,signal='crosslink' ophth='Endotheli',ophthalmology_journal
33747806,2021,International journal of ophthalmology,Protective effects of riboflavin-UVA-mediated posterior sclera collagen cross-linking in a guinea pig model of form-deprived myopia.,keep,keep,keep.content,signal='riboflavin' ophth='riboflavin',ophthalmology_journal
33744258,2021,Experimental eye research,Effect of penetration enhancer with novel corneal cross-linking using recombinant human decoron in porcine eyes.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
33733442,2021,Klinische Monatsblatter fur Augenheilkunde,The Effectiveness of Corneal Epithelial Debridement Performed with an Alcohol-Impregnated Sponge.,keep,keep,keep.content,signal='CXL' ophth='Cornea',ophthalmology_journal
33727638,2021,Scientific reports,Clinical and genomic features of Corynebacterium macginleyi-associated infectious keratitis.,keep,keep,keep.content,signal='cross-link' ophth='keratitis',
33719638,2021,European journal of ophthalmology,Impact of COVID-19 on keratoconus patients waiting for corneal cross linking.,keep,keep,keep.content,signal='cross link' ophth='keratocon',ophthalmology_journal
33708786,2021,Frontiers in medicine,Corneal Stromal Regeneration: A Review of Human Clinical Studies in Keratoconus Treatment.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',
33689909,2021,Journal of AAPOS : the official publication of the American Association for Pediatric Ophthalmology and Strabismus,Bilateral methicillin-resistant Staphylococcus aureus keratitis after corneal crosslinking for keratoconus in a child.,keep,keep,keep.content,signal='crosslink' ophth='keratitis',ophthalmology_journal
33689606,2021,Clinical & experimental optometry,Efficacy of two silicone-hydrogel bandage contact lenses after corneal crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33682969,2021,Xenotransplantation,"Invited commentary on ""Deep Anterior lamellar keratoplasty with Cross-linked Acellular Porcine Corneal Stroma to Manage Fungal Keratitis"".",exclude,manual,manual.exclude,"Commentary on DALK with cross-linked acellular porcine corneal stroma; graft-material crosslinking, not CXL [Claude-proposed 2026-09-10]",
33681532,2021,American journal of ophthalmology case reports,Penetrating keratoplasty using collagen crosslinked donor tissue: A case report.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33671011,2021,Pharmaceutics,Significance of Crosslinking Approaches in the Development of Next Generation Hydrogels for Corneal Tissue Engineering.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',
33670732,2021,Journal of clinical medicine,Predicting Keratoconus Progression and Need for Corneal Crosslinking Using Deep Learning.,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',
33667681,2021,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,Enhancement in corneal permeability of riboflavin using cyclodextrin derivates complexes as a previous step to transepithelial cross-linking.,keep,keep,keep.content,signal='riboflavin' ophth='cornea',
33667017,2021,Clinical & experimental ophthalmology,Transepithelial corneal collagen cross-linking using iontophoresis versus the Dresden protocol in progressive keratoconus: A meta-analysis.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
33656958,2021,Seminars in ophthalmology,Repeated Corneal Cross-linking (CXL) in Keratoconus Progression After Primary Treatment: Updated Perspectives.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33631984,2021,European journal of ophthalmology,Corneal cross-linking for treatment of progressive keratoconus in a patient with Alport syndrome: A case report.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
33627758,2021,"Eye (London, England)","What are the costs, capacity, and clinical implications of 'waiting for documented progression' in young West of Scotland patients prior to collagen cross linking?",keep,keep,keep.content,signal='cross link' ophth='',ophthalmology_journal;no_abstract;ophthalmic_term_absent_journal_vouches
33624461,2021,Journal of biomedical optics,Heartbeat optical coherence elastography: corneal biomechanics in vivo.,keep,manual,manual.include,Heartbeat OCE distinguishing untreated vs CXL corneas in vivo [Claude-proposed 2026-09-10],
33618905,2021,Journal francais d'ophtalmologie,Poor re-epithelialization following corneal collagen crosslinking with riboflavin-uva for advanced bullous keratopathy: Case series.,keep,keep,keep.content,signal='crosslink' ophth='epitheli',ophthalmology_journal
33617389,2021,Seminars in ophthalmology,Comparison of Different Methods of Corneal Collagen Crosslinking: A Systematic Review.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33607693,2021,Klinische Monatsblatter fur Augenheilkunde,Successful Regression in Patients with Progressive Keratoconus by Corneal Crosslinking.,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',ophthalmology_journal
33603892,2021,Experimental and therapeutic medicine,Accelerated vs. conventional collagen cross-linking for infectious keratitis.,keep,keep,keep.content,signal='cross-link' ophth='keratitis',
33600810,2021,Experimental eye research,Depth- and direction-dependent changes in solute transport following cross-linking with riboflavin and UVA light in ex vivo porcine cornea.,keep,keep,keep.content,signal='cross-link' ophth='riboflavin',ophthalmology_journal
33590372,2021,International ophthalmology,New perspectives in keratoconus treatment: an update on iontophoresis-assisted corneal collagen crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
33580896,2021,"Clinical anatomy (New York, N.Y.)",Morphological alterations of the cornea following crosslinking treatment (CXL).,keep,keep,keep.content,signal='crosslink' ophth='cornea',
33577693,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Mitomycin C Application After Corneal Cross-linking for Keratoconus Increases Stromal Haze.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33577692,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Corneal Cross-linking at the Slit Lamp.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33575037,2021,Journal of ophthalmology,Comparison of Standard and Transepithelial Corneal Cross-Linking for the Treatment of Keratoconus: A Meta-analysis.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
33573798,2021,Journal francais d'ophtalmologie,[Excimer laser in keratoconus management].,keep,keep,keep.content,signal='cross link' ophth='keratocon',ophthalmology_journal
33567035,2021,Arquivos brasileiros de oftalmologia,Corneal crosslinking efficacy in patients with keratoconus under 18 years of age.,keep,keep,keep.content,signal='crosslink' ophth='Cornea',ophthalmology_journal
33563336,2021,"Eye and vision (London, England)",Impact of hypothermia on the biomechanical effect of epithelium-off corneal cross-linking.,keep,keep,keep.content,signal='epithelium-off' ophth='epitheli',ophthalmology_journal
33560170,2021,Ocular immunology and inflammation,Comparison of topical omega-3 fatty acids with topical sodium hyaluronate after corneal crosslinking : Short term results.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
33550893,2021,Ophthalmic epidemiology,Predictive Factors for Corneal Scarring in Progressive Keratoconus Patients after Corneal Collagen Cross-linking.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33549965,2021,Medical hypotheses,Vitreous collagen cross-linking and maturation and interactions with internal limiting membrane (ILM) collagen may have a potential role in modulating postnatal growth of the eyeball.,exclude,manual,manual.exclude,Vitreous collagen cross-linking; not corneal [Claude-proposed 2026-09-10],
33548255,2021,Experimental eye research,Compaction of very thin corneas from ultraviolet A riboflavin-vitamin E transepithelial cross-linking.,keep,keep,keep.content,signal='ultraviolet A' ophth='cornea',ophthalmology_journal
33543874,2021,Cornea,"Comparison of Visual, Tomographic, and Biomechanical Outcomes of 360 Degrees Intracorneal Ring Implantation With and Without Corneal Crosslinking for Progressive Keratoconus: A 5-Year Follow-up.",keep,keep,keep.content,signal='Crosslink' ophth='Tomograph',ophthalmology_journal
33534235,2021,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",Microbial Keratitis After Corneal Collagen Cross-Linking for Corneal Ectasia.,keep,keep,keep.content,signal='Cross-Link' ophth='Keratitis',ophthalmology_journal
33514906,2021,"Eye (London, England)",Central versus paracentral cone location and outcomes of accelerated cross-linking in keratoconus patients.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
33497690,2021,Experimental eye research,Study on patterned photodynamic cross-linking for keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
33492849,2021,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",Advanced Research in Scleral Cross-Linking to Prevent From Progressive Myopia.,keep,keep,keep.content,signal='Cross-Link' ophth='Sclera',ophthalmology_journal
33483901,2021,International ophthalmology,"Ocular hypertension is a complication of corneal collagen cross-linking : Letter to the editor regarding the paper ""Complications of accelerated corneal collagen cross-linking: review of 2025 eyes"" by",keep,keep,keep.content,signal='cross-link' ophth='Ocular',ophthalmology_journal;no_abstract
33469480,2021,International journal of ophthalmology,Changes of matrix metalloproteinases in the stroma after corneal cross-linking in rabbits.,keep,keep,keep.content,signal='cross-link' ophth='stroma',ophthalmology_journal
33466126,2021,Medicine,Comparison of safety and efficiency of corneal topography-guided photorefractive keratectomy and combined with crosslinking in myopic correction: An 18-month follow-up.,keep,keep,keep.content,signal='crosslink' ophth='cornea',
33464378,2021,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Toric phakic IOLs in keratoconus-evaluation of preoperative parameters on the outcome of phakic anterior chamber lens implantation in patients with keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
33463562,2021,Indian journal of ophthalmology,Pediatric keratoconus - Current perspectives and clinical challenges.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
33443628,2021,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,"NF-κB, iNOS, IL-6, and collagen 1 and 5 expression in healthy and keratoconus corneal fibroblasts after 0.1% riboflavin UV-A illumination.",keep,keep,keep.content,signal='riboflavin' ophth='keratocon',ophthalmology_journal
33442228,2021,"Clinical ophthalmology (Auckland, N.Z.)",Outcomes of Corneal Topography among Progressive Keratoconus Patients 12 months following Corneal Collagen Cross-Linking.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
33432994,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Transepithelial Corneal Cross-linking With Supplemental Oxygen in Keratoconus: 1-Year Clinical Results.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33420518,2021,Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,[Refractive surgical treatment of a keratoconus patient using combined excimer laser ablation and corneal cross-linking (Athens protocol)].,keep,keep,keep.content,signal='cross-link' ophth='Refractive',ophthalmology_journal;no_abstract
33414527,2021,"Eye (London, England)",Safety and efficacy of repeated crosslinking assisted by transepithelial double-cycle iontophoresis in keratoconus progression after primary corneal crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
33395116,2021,Cornea,Corneal Crosslinking to Regress Pathologic Corneal Neovascularization Before High-Risk Keratoplasty.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33394926,2021,Optometry and vision science : official publication of the American Academy of Optometry,Case Report: Successful Corneal Crosslinking in a Patient with Corneal Ectasia Associated with Stevens-Johnson Syndrome.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
33389422,2021,International ophthalmology,Xanthine oxidase enzyme activity in keratoconic corneal epithelium.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
33383093,2020,Ophthalmology,Transepithelial versus Epithelium-off Corneal Collagen Cross-linking for Corneal Ectasia: A Systematic Review and Meta-analysis.,keep,keep,keep.content,signal='Epithelium-off' ophth='Epitheli',ophthalmology_journal
33376299,2020,"Clinical ophthalmology (Auckland, N.Z.)",Photoactivated Chromophore for Keratitis-Corneal Collagen Cross-Linking (PACK-CXL) Improves Outcomes of Treatment-Resistant Infectious Keratitis.,keep,keep,keep.content,signal='Photoactivated Chromophore' ophth='Keratitis',ophthalmology_journal
33369925,2020,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",Intracorneal Ring Segments Followed by Simultaneous Topography-Guided Removal of Epithelium and Stroma With Accelerated Collagen Cross-Linking For Keratoconus (I-TRESK/CXL).,keep,keep,keep.content,signal='Cross-Link' ophth='Topograph',ophthalmology_journal
33340508,2021,American journal of ophthalmology,Individualized Corneal Cross-linking With Riboflavin and UV-A in Ultrathin Corneas: The Sub400 Protocol.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
33323709,2020,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",Corneal Cross-Linking for Keratoconus: Current Knowledge and Practice and Future Trends.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
